,Hugo_Symbol
0,DSCC1
1,SYNJ1
2,SSR4
3,PTPN6
4,FEM1B
5,DHRS2
6,PANK4
7,CSTF2T
8,PQBP1
9,ISLR2
10,AC135048.1
11,VPS41
12,GHITM
13,GPR116
14,C12orf45
15,FITM1
16,ICMT
17,FAM199X
18,OSR1
19,CCDC8
20,C1GALT1
21,RP11-1021N1.1
22,NAV3
23,KCTD15
24,FCAR
25,CEP85
26,RAB3IL1
27,EDC4
28,WDR83
29,PAX3
30,ENTPD2
31,NRP2
32,SOX9
33,TUBE1
34,LETM1
35,CARS2
36,C10orf11
37,GTF2H1
38,SNX29
39,ARMCX6
40,ETV3L
41,SUB1
42,TREML2
43,UBE2M
44,EME2
45,TEX264
46,MAD2L2
47,HNF1A
48,RNF222
49,ABCB6
50,PTPRZ1
51,PAF1
52,PRODH
53,SMCR8
54,FGD4
55,FUT10
56,ZFP62
57,ICAM3
58,PLEKHM1
59,SYT10
60,EHF
61,SCARA5
62,DKK4
63,TAS2R1
64,METRN
65,GSDMD
66,GCSAM
67,RHCE
68,C16orf52
69,KIF25
70,KCNA4
71,C11orf21
72,TIMM21
73,ATP6V0D1
74,ZSCAN1
75,TEX29
76,BTLA
77,BTNL3
78,SAMD1
79,FOXN1
80,WNT8B
81,EML5
82,CYBA
83,GPR42
84,IL1RN
85,PFKM
86,KCNT2
87,RPA1
88,SMTN
89,CUL3
90,CCDC132
91,BTBD19
92,ARPC5
93,TMEM107
94,SBK2
95,RP11-234B24.6
96,AGL
97,ATP2A2
98,UBR7
99,TSPYL2
100,FEZ1
101,SIRT2
102,MESDC1
103,STX8
104,VLDLR
105,DCAF4
106,EIF2D
107,XBP1
108,PIGL
109,SCG3
110,MSANTD3
111,WDR24
112,COL10A1
113,PNMA6D
114,LASP1
115,KIF26A
116,MED7
117,TOMM6
118,GANC
119,PSENEN
120,PSRC1
121,GDF9
122,PCDHB14
123,ZNF778
124,CNIH4
125,TGM2
126,ZFP1
127,CCL11
128,TMEM74
129,MTL5
130,ZNF788
131,MTX1
132,ZYG11B
133,SDR9C7
134,ESAM
135,ENKUR
136,TTC39B
137,RNASE13
138,CHRNB4
139,BLCAP
140,CHFR
141,REM2
142,CD97
143,ZNF473
144,PLEKHG7
145,RBM4B
146,RASAL2
147,AFMID
148,FAM187B
149,FBXO27
150,GTSCR1
151,KRTAP4-4
152,RASL10B
153,PIP5K1B
154,KIAA0100
155,ZNF780B
156,FABP2
157,BIN1
158,LHX2
159,B3GALT1
160,DALRD3
161,GBP4
162,TBL1Y
163,SEC16A
164,CCL17
165,SH2D3C
166,FAM3B
167,TMOD2
168,RPS11
169,SCAPER
170,FANCB
171,NTN1
172,SIMC1
173,EIF4G1
174,PPP2R3B
175,MESP2
176,NOMO1
177,INO80E
178,GCSAML
179,ECSIT
180,CCL3
181,CTB-129P6.11
182,CTD-2349B8.1
183,ERLEC1
184,ZNF256
185,HOXB5
186,RMND1
187,ESYT1
188,SLC22A18
189,SPATA13
190,TTPAL
191,RP11-126K1.2
192,ZNF250
193,TKTL1
194,CRLF3
195,PNPLA4
196,DUSP5
197,PGK1
198,RPS16
199,AHNAK
200,C1orf213
201,MAPRE2
202,PIK3CD
203,ZNF469
204,CYP51A1
205,MRPL14
206,AMDHD1
207,FTSJ3
208,C19orf33
209,HDHD3
210,LINC00632
211,C5orf49
212,CXCL2
213,MTERFD3
214,THSD4
215,PRSS27
216,SLC35F5
217,PMAIP1
218,KDM1A
219,HTATSF1
220,HTRA2
221,EHD1
222,LGALS7
223,JUP
224,PHACTR1
225,SGK1
226,ZNF799
227,SEC13
228,FAM107A
229,SMCO1
230,CXXC1
231,CXorf48
232,CXCL16
233,ZNF586
234,ADH6
235,SYCP3
236,TAS2R20
237,SPG11
238,MIS18BP1
239,HIST3H3
240,WBP1L
241,POLR2H
242,PFKL
243,HOXD13
244,ULBP2
245,GRIP1
246,SDC4
247,KIAA1614
248,MAP4
249,CABP4
250,FADS3
251,NKG2-E
252,CEP19
253,SENP7
254,N4BP1
255,OLAH
256,GPX2
257,RP13-996F3.5
258,TTLL1
259,SMPD1
260,STX10
261,ARAP3
262,JUN
263,ZSCAN5D
264,CCDC88C
265,EPGN
266,CDK11A
267,AC006538.4
268,XPNPEP3
269,PRICKLE3
270,FAM200A
271,LRP10
272,KRT12
273,PRKACB
274,AC007956.1
275,VBP1
276,TGM4
277,THOC3
278,DLEU1
279,FBXL20
280,PCYOX1
281,ZFPL1
282,DDAH2
283,ACTN1
284,IL18R1
285,WNK2
286,CPOX
287,UBE3B
288,ZNRF3
289,ANGEL2
290,SCGB3A1
291,PPAP2A
292,PSMG1
293,DHX15
294,AC140481.2
295,PRSS36
296,FAM175A
297,HOXB8
298,ADCY5
299,GPRC5A
300,FAM135B
301,CD36
302,CXorf40B
303,TMEM252
304,DMP1
305,TGM1
306,HTR2B
307,LRRC8E
308,LEF1
309,TMEM164
310,CLEC1B
311,BTG2
312,DOCK8
313,DNAJB2
314,CCDC93
315,RFWD2
316,RPL10
317,IKZF5
318,C9orf139
319,SPEG
320,CCDC155
321,ACVR2B
322,NDUFB1
323,ETV7
324,SHC2
325,NHLRC3
326,PDGFRL
327,YAP1
328,ACTL8
329,KLK2
330,PGBD2
331,C1orf134
332,GALNT10
333,LIN7B
334,C4orf29
335,TMEM170A
336,LGMN
337,CCDC116
338,AFM
339,SYPL1
340,FANCE
341,TOR1B
342,TMEM115
343,MAGEB1
344,SLURP1
345,RNF151
346,CA6
347,GAS2
348,AL136115.1
349,HNRNPH1
350,CIB3
351,TSNAX-DISC1
352,PTGDR2
353,RDH8
354,ASXL3
355,BCAS3
356,NOS1AP
357,CCNK
358,RBM10
359,PDE4B
360,ZNF736
361,NT5E
362,DAB1
363,JOSD1
364,NF1
365,DLL1
366,FPGS
367,MND1
368,SOX1
369,GIMAP5
370,MVB12B
371,CYP11B1
372,ZNF367
373,LYRM9
374,TADA1
375,RFX1
376,CCDC171
377,GGACT
378,AC010547.9
379,SLC14A1
380,RNPEPL1
381,FZD9
382,INTS8
383,MYF5
384,TMCO4
385,CD5L
386,STXBP6
387,DTNBP1
388,ARIH1
389,ACPL2
390,GAB2
391,AC104057.1
392,PATZ1
393,PSMG2
394,IPP
395,NCOA2
