
Overlap Results

Collection(s):	C1, C2, C3, C4, C5, C6, C7, H
# overlaps shown:	10
# genesets in collections:	17810
# genes in comparison (n):	410
# genes in universe (N):	45956

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_OLFACTORY_RECEPTOR_ACTIVITY	425	Combining with an odorant and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity in response to detection of smell.	107	0.2518	1.07E-124	1.91E-120
GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	524	The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.	110	0.2099	9.86E-119	8.78E-115
GO_DETECTION_OF_STIMULUS	675	The series of events in which a stimulus is received by a cell or organism and converted into a molecular signal.	115	0.1704	3.34E-113	1.98E-109
KEGG_OLFACTORY_TRANSDUCTION	389	Olfactory transduction	96	0.2468	1.71E-110	7.61E-107
REACTOME_OLFACTORY_SIGNALING_PATHWAY	328	Genes involved in Olfactory Signaling Pathway	88	0.2683	1.28E-104	4.55E-101
GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	879	Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.	118	0.1342	1.32E-103	3.92E-100
GO_SENSORY_PERCEPTION	938	The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.	117	0.1247	7.26E-99	1.85E-95
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1193	A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576).	120	0.1006	2.55E-90	5.67E-87
GO_NEUROLOGICAL_SYSTEM_PROCESS	1242	A organ system process carried out by any of the organs or tissues of neurological system.	119	0.0958	4.89E-87	9.68E-84
GO_SIGNALING_RECEPTOR_ACTIVITY	1393	Receiving a signal and transmitting the signal in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.	120	0.0861	2.09E-82	3.73E-79


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
120065	OR5P2	olfactory receptor, family 5, subfamily P, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
120066	OR5P3	olfactory receptor, family 5, subfamily P, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
389090	OR6B2	olfactory receptor, family 6, subfamily B, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26338	OR5L2	olfactory receptor, family 5, subfamily L, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
219477	OR8J1	olfactory receptor, family 8, subfamily J, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390144	OR5D16	olfactory receptor, family 5, subfamily D, member 16	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
441639	OR9K2	olfactory receptor, family 9, subfamily K, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26339	OR5K1	olfactory receptor, family 5, subfamily K, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
402135	OR5K2	olfactory receptor, family 5, subfamily K, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
