
Overlap Results

Collection(s):	C1, C2, C3, C4, C5, C6, C7, H
# overlaps shown:	10
# genesets in collections:	17810
# genes in comparison (n):	503
# genes in universe (N):	45956

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	590	Genes with high-CpG-density promoters (HCP) bearing histone H3 trimethylation mark at K27 (H3K27me3) in MEF cells (embryonic fibroblast).	85	0.1441	2.58E-68	4.6E-64
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1649	The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane.	119	0.0722	5.06E-62	4.51E-58
GO_TRANSPORTER_ACTIVITY	1276	Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.	95	0.0745	3.45E-50	2.05E-46
GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	997	Enables the transfer of a substance from one side of a membrane to the other.	82	0.0822	1.94E-46	8.62E-43
GO_ION_TRANSPORT	1262	The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	90	0.0713	6.13E-46	2.18E-42
GO_TRANSMEMBRANE_TRANSPORT	1098	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other	83	0.0756	3.31E-44	9.82E-41
GO_ION_TRANSMEMBRANE_TRANSPORT	822	A process in which an ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	73	0.0888	1.45E-43	3.69E-40
GO_SYSTEM_PROCESS	1785	A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective.	98	0.0549	2.83E-40	6.29E-37
BENPORATH_ES_WITH_H3K27ME3	1118	Set 'H3K27 bound': genes posessing the trimethylated H3K27 (H3K27me3) mark in their promoters in human embryonic stem cells, as identified by ChIP on chip.	79	0.0707	6.11E-40	1.21E-36
GO_NEUROLOGICAL_SYSTEM_PROCESS	1242	A organ system process carried out by any of the organs or tissues of neurological system.	80	0.0644	1.44E-37	2.56E-34


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
2558	GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
1137	CHRNA4	cholinergic receptor, nicotinic, alpha 4	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
27012	KCNV1	potassium channel, subfamily V, member 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
3788	KCNS2	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
90134	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
3763	KCNJ6	potassium inwardly-rectifying channel, subfamily J, member 6	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
27133	KCNH5	potassium voltage-gated channel, subfamily H (eag-related), member 5	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
348980	HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
3785	KCNQ2	potassium voltage-gated channel, KQT-like subfamily, member 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
57709	SLC7A14	solute carrier family 7 (orphan transporter), member 14	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
57582	KCNT1	potassium channel, subfamily T, member 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
55515	ACCN4	amiloride-sensitive cation channel 4, pituitary	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
6534	SLC6A7	solute carrier family 6 (neurotransmitter transporter, L-proline), member 7	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
3746	KCNC1	potassium voltage-gated channel, Shaw-related subfamily, member 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
9152	SLC6A5	solute carrier family 6 (neurotransmitter transporter, glycine), member 5	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT			BENPORATH_ES_WITH_H3K27ME3	
3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	
2911	GRM1	glutamate receptor, metabotropic 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
