
Overlap Results

Collection(s):	C1, C2, C3, C4, C5, C6, C7, H
# overlaps shown:	10
# genesets in collections:	17810
# genes in comparison (n):	1914
# genes in universe (N):	45956

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_SYSTEM_PROCESS	1785	A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective.	314	0.1759	1.21E-109	2.16E-105
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1193	A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576).	256	0.2146	7.71E-109	6.87E-105
GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	879	Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.	219	0.2491	1.72E-106	1.02E-102
GO_NEUROLOGICAL_SYSTEM_PROCESS	1242	A organ system process carried out by any of the organs or tissues of neurological system.	256	0.2061	1.29E-104	5.73E-101
GO_SENSORY_PERCEPTION	938	The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.	219	0.2335	2.11E-100	7.51E-97
GO_SIGNALING_RECEPTOR_ACTIVITY	1393	Receiving a signal and transmitting the signal in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.	260	0.1866	5.45E-96	1.62E-92
GO_RECEPTOR_ACTIVITY	1649	Combining with an extracellular or intracellular messenger to initiate a change in cell activity.	281	0.1704	3.69E-94	9.38E-91
GO_SIGNAL_TRANSDUCER_ACTIVITY	1731	Conveys a signal across a cell to trigger a change in cell function or state. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.	271	0.1566	4.47E-82	9.94E-79
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	1725	Genes transiently induced only by the second pulse of EGF [GeneID =1950] in 184A1 cells (mammary epithelium).	263	0.1525	5.19E-77	1.03E-73
REACTOME_GPCR_DOWNSTREAM_SIGNALING	805	Genes involved in GPCR downstream signaling	174	0.2161	6.74E-74	1.2E-70


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
23538	OR52A1	olfactory receptor, family 52, subfamily A, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
341799	OR6S1	olfactory receptor, family 6, subfamily S, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
121130	OR10P1	olfactory receptor, family 10, subfamily P, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
284521	OR2L13	olfactory receptor, family 2, subfamily L, member 13	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
196335	OR56B4	olfactory receptor, family 56, subfamily B, member 4	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
340980	OR52B6	olfactory receptor, family 52, subfamily B, member 6	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
79473	OR52N1	olfactory receptor, family 52, subfamily N, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
127385	OR10J5	olfactory receptor, family 10, subfamily J, member 5	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
138883	OR1N1	olfactory receptor, family 1, subfamily N, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
81392	OR2AE1	olfactory receptor, family 2, subfamily AE, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
125963	OR1M1	olfactory receptor, family 1, subfamily M, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
4988	OPRM1	opioid receptor, mu 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
23620	NTSR2	neurotensin receptor 2	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
390442	OR11H4	olfactory receptor, family 11, subfamily H, member 4	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
