,lenght,type_of_gene
ENSG00000242268,,intergenic
ENSG00000270112,,unknown
ENSG00000167578,18722.0,protein-coding
ENSG00000273842,,unknown
ENSG00000078237,46830.0,protein-coding
ENSG00000146083,11328.0,protein-coding
ENSG00000225275,,unknown
ENSG00000158486,226330.0,protein-coding
ENSG00000198242,4966.0,protein-coding
ENSG00000259883,,unknown
ENSG00000231981,,unknown
ENSG00000269475,,unknown
ENSG00000201788,,unknown
ENSG00000134108,58692.0,protein-coding
ENSG00000263089,,unknown
ENSG00000172137,31725.0,protein-coding
ENSG00000167700,2139.0,protein-coding
ENSG00000234943,,unknown
ENSG00000240423,,intergenic
ENSG00000060642,10926.0,protein-coding
ENSG00000271616,,unknown
ENSG00000234881,,unknown
ENSG00000236040,,unknown
ENSG00000231105,,ncRNA
ENSG00000243044,,unknown
ENSG00000182141,38265.0,protein-coding
ENSG00000269416,,intergenic
ENSG00000264981,,unknown
ENSG00000275265,,unknown
ENSG00000185105,7588.0,protein-coding
ENSG00000233540,,ncRNA
ENSG00000102174,218869.0,protein-coding
ENSG00000271647,,unknown
ENSG00000166391,15139.0,protein-coding
ENSG00000270469,,unknown
ENSG00000070087,85884.0,protein-coding
ENSG00000262950,,unknown
ENSG00000255420,,ncRNA
ENSG00000280038,,unknown
ENSG00000266261,,unknown
ENSG00000153561,57868.0,protein-coding
ENSG00000269148,,unknown
ENSG00000274458,,unknown
ENSG00000273406,,unknown
ENSG00000179262,7787.0,protein-coding
ENSG00000214198,,unknown
ENSG00000278099,,snRNA
ENSG00000166368,1109.0,protein-coding
ENSG00000206072,78853.0,protein-coding
ENSG00000234900,,unknown
ENSG00000258630,,intergenic
ENSG00000127511,50953.0,protein-coding
ENSG00000220993,,unknown
ENSG00000225269,,unknown
ENSG00000214062,,unknown
ENSG00000095587,149312.0,protein-coding
ENSG00000274219,,unknown
ENSG00000230100,,unknown
ENSG00000064601,8676.0,protein-coding
ENSG00000227766,,unknown
ENSG00000008517,16895.0,protein-coding
ENSG00000215246,,ncRNA
ENSG00000266644,,unknown
ENSG00000236893,,unknown
ENSG00000254465,,unknown
ENSG00000088179,224187.0,protein-coding
ENSG00000070081,141827.0,protein-coding
ENSG00000275479,,unknown
ENSG00000166634,10851.0,protein-coding
ENSG00000261789,,unknown
ENSG00000254092,,unknown
ENSG00000197421,,unknown
ENSG00000161558,31881.0,protein-coding
ENSG00000276644,429226.0,protein-coding
ENSG00000260900,,unknown
ENSG00000278732,,unknown
ENSG00000196167,14258.0,protein-coding
ENSG00000268465,,unknown
ENSG00000264438,,unknown
ENSG00000204113,,unknown
ENSG00000207000,,unknown
ENSG00000254131,,unknown
ENSG00000118972,11501.0,protein-coding
ENSG00000264104,,unknown
ENSG00000179833,119384.0,protein-coding
ENSG00000264576,,unknown
ENSG00000064225,88965.0,protein-coding
ENSG00000267108,,unknown
ENSG00000221372,,unknown
ENSGR0000264510,,unknown
ENSG00000057294,106095.0,protein-coding
ENSG00000227535,,unknown
ENSG00000252628,,unknown
ENSG00000166007,,unknown
ENSG00000273055,,unknown
ENSG00000242041,,unknown
ENSG00000278923,,unknown
ENSG00000167768,5671.0,protein-coding
ENSG00000280159,,unknown
ENSG00000235240,,unknown
ENSG00000264172,,unknown
ENSG00000199903,,unknown
ENSG00000200058,,unknown
ENSG00000275358,,unknown
ENSG00000218358,,pseudo
ENSG00000266460,,unknown
ENSG00000260371,,unknown
ENSG00000264091,,unknown
ENSG00000238921,,unknown
ENSG00000274815,,unknown
ENSG00000269349,,unknown
ENSG00000200291,,unknown
ENSG00000233614,,pseudo
ENSG00000022567,101139.0,protein-coding
ENSG00000241670,,unknown
ENSG00000278933,,unknown
ENSG00000202175,,unknown
ENSG00000120662,47208.0,protein-coding
ENSG00000235523,,unknown
ENSG00000249848,,unknown
ENSG00000277826,,unknown
ENSG00000230225,,unknown
ENSG00000239877,,antisense
ENSG00000201398,,unknown
ENSG00000281474,,unknown
ENSG00000272905,,unknown
ENSG00000259952,,unknown
ENSG00000260812,,unknown
ENSG00000225630,,unknown
ENSG00000230231,,unknown
ENSG00000164283,44807.0,protein-coding
ENSG00000231880,,unknown
ENSG00000227489,,unknown
ENSG00000254555,,unknown
ENSG00000013392,5553.0,protein-coding
ENSG00000258279,,intergenic
ENSG00000226688,,antisense
ENSG00000250929,,unknown
ENSG00000204581,,antisense
ENSG00000225620,,unknown
ENSG00000258477,,unknown
ENSG00000225488,,ncRNA
ENSG00000184178,493093.0,protein-coding
ENSG00000237786,,unknown
ENSG00000166913,22856.0,protein-coding
ENSG00000275856,,unknown
ENSG00000164112,6497.0,protein-coding
ENSG00000259345,,unknown
ENSG00000130204,13120.0,protein-coding
ENSG00000280387,,unknown
ENSG00000189099,14282.0,protein-coding
ENSG00000232879,,unknown
ENSG00000111863,94992.0,protein-coding
ENSG00000164182,207908.0,protein-coding
ENSG00000109618,40428.0,protein-coding
ENSG00000271623,,unknown
ENSG00000279345,,unknown
ENSG00000214866,143819.0,protein-coding
ENSG00000153015,249833.0,protein-coding
ENSG00000202290,,unknown
ENSG00000254578,,unknown
ENSG00000240710,,unknown
ENSG00000248778,,unknown
ENSG00000250210,,unknown
ENSG00000225215,,unknown
ENSG00000257246,,unknown
ENSG00000245017,,intergenic
ENSG00000281091,,unknown
ENSG00000250885,,unknown
ENSG00000273797,,unknown
ENSG00000089116,10246.0,protein-coding
ENSG00000036448,120512.0,protein-coding
ENSG00000234055,,unknown
ENSG00000267552,,unknown
ENSG00000224695,,unknown
ENSG00000106038,7793.0,protein-coding
ENSG00000255189,,unknown
ENSG00000164114,34312.0,protein-coding
ENSG00000238698,,unknown
ENSG00000199836,,unknown
ENSG00000149089,63405.0,protein-coding
ENSG00000251710,,unknown
ENSG00000224570,,unknown
ENSG00000179632,3112.0,protein-coding
ENSG00000271677,,unknown
ENSG00000114861,631176.0,protein-coding
ENSG00000205030,935.0,protein-coding
ENSG00000138193,302011.0,protein-coding
ENSG00000243073,6977.0,protein-coding
ENSG00000152942,45508.0,protein-coding
ENSG00000240809,,unknown
ENSG00000280004,,unknown
ENSG00000224560,,unknown
ENSG00000227233,,unknown
ENSG00000118363,29784.0,protein-coding
ENSG00000258116,,unknown
ENSG00000273311,,ncRNA
ENSG00000136169,50629.0,protein-coding
ENSG00000279700,,unknown
ENSG00000121644,56098.0,protein-coding
ENSG00000135903,99108.0,protein-coding
ENSG00000138495,22941.0,protein-coding
ENSG00000204528,,unknown
ENSG00000169992,14986.0,protein-coding
ENSG00000239344,,unknown
ENSG00000253309,28962.0,protein-coding
ENSG00000101323,57493.0,protein-coding
ENSG00000272456,,unknown
ENSG00000251538,,intergenic
ENSG00000263711,,ncRNA
ENSG00000262662,,unknown
ENSG00000127564,12515.0,protein-coding
ENSG00000219395,,unknown
ENSG00000255349,,unknown
ENSG00000254843,,unknown
ENSG00000277998,,unknown
ENSG00000275248,,unknown
ENSG00000226086,,unknown
ENSG00000235023,,unknown
ENSG00000176973,1849.0,protein-coding
ENSG00000255521,,ncRNA
ENSG00000211682,,unknown
ENSG00000231630,,unknown
ENSG00000249514,,unknown
ENSG00000272374,,unknown
ENSG00000159479,5891.0,protein-coding
ENSG00000112511,6054.0,protein-coding
ENSG00000196381,24571.0,protein-coding
ENSG00000211950,,unknown
ENSG00000202534,,unknown
ENSG00000231062,,unknown
ENSG00000154511,128785.0,protein-coding
ENSG00000253946,,unknown
ENSG00000144504,89787.0,protein-coding
ENSG00000142507,2359.0,protein-coding
ENSG00000259677,,unknown
ENSG00000164116,65638.0,protein-coding
